step,actual_error,intr_reward,is_noisy
0,0.07967468351125717,-2.5297908782958984,False
1,0.10047081857919693,-2.2978780269622803,False
2,0.02422412671148777,-3.720364809036255,True
3,0.19355297088623047,-1.642198920249939,False
4,0.1935543566942215,-1.642191767692566,False
5,0.19355370104312897,-1.6421951055526733,False
6,0.1935521960258484,-1.6422028541564941,False
7,0.19355244934558868,-1.6422016620635986,False
8,0.19355130195617676,-1.6422075033187866,False
9,0.1935541182756424,-1.6421929597854614,False
10,0.19355304539203644,-1.6421985626220703,False
11,0.19355136156082153,-1.642207145690918,False
12,0.19355297088623047,-1.642198920249939,False
13,0.19355511665344238,-1.6421878337860107,False
14,0.19355054199695587,-1.6422114372253418,False
15,0.1935534030199051,-1.6421966552734375,False
16,0.19355489313602448,-1.6421890258789062,False
17,0.19355666637420654,-1.6421797275543213,False
18,0.19355285167694092,-1.6421995162963867,False
19,0.19355224072933197,-1.642202615737915,False
20,0.19355100393295288,-1.6422090530395508,False
21,0.19355154037475586,-1.6422063112258911,False
22,0.1938370317220688,-1.6407324075698853,False
23,0.19383597373962402,-1.640737771987915,False
24,0.19383670389652252,-1.640734076499939,False
25,0.19383494555950165,-1.6407431364059448,False
26,0.19383756816387177,-1.6407296657562256,False
27,0.19383633136749268,-1.6407359838485718,False
28,0.19383764266967773,-1.6407291889190674,False
29,0.1938386708498001,-1.6407239437103271,False
30,0.19383661448955536,-1.6407344341278076,False
31,0.19384105503559113,-1.6407115459442139,False
32,0.19383661448955536,-1.6407344341278076,False
33,0.016014404594898224,-4.134204387664795,True
34,0.1938389539718628,-1.640722393989563,False
35,0.19383764266967773,-1.6407291889190674,False
36,0.19351939857006073,-1.6423723697662354,False
37,0.19361340999603271,-1.6418867111206055,False
38,0.19351576268672943,-1.6423912048339844,False
39,0.19353018701076508,-1.6423165798187256,False
40,0.19359762966632843,-1.6419682502746582,False
41,0.19361376762390137,-1.6418848037719727,False
42,0.19333712756633759,-1.6433145999908447,False
43,0.07684919238090515,-2.565897226333618,False
44,0.08126429468393326,-2.5100362300872803,False
45,0.102306067943573,-2.2797765731811523,False
46,0.195744588971138,-1.6309394836425781,False
47,0.07683330029249191,-2.5661041736602783,False
48,0.07684674113988876,-2.5659291744232178,False
49,0.07684290409088135,-2.565979242324829,False
50,0.07682190090417862,-2.5662524700164795,False
51,0.076833076775074,-2.5661070346832275,False
52,0.07684243470430374,-2.5659852027893066,False
53,0.08124971389770508,-2.5102157592773438,False
54,0.10226565599441528,-2.2801716327667236,False
55,0.1957516223192215,-1.6309036016464233,False
56,0.07684383541345596,-2.565967082977295,False
57,0.06029462441802025,-2.8084957599639893,True
58,0.10226893424987793,-2.280139446258545,False
59,0.19574682414531708,-1.6309280395507812,False
60,0.19581539928913116,-1.630577802658081,False
61,0.19583289325237274,-1.6304885149002075,False
62,0.1957397609949112,-1.6309641599655151,False
63,0.19575761258602142,-1.6308729648590088,False
64,0.18994398415088654,-1.6610207557678223,False
65,0.080420583486557,-2.520472764968872,False
66,0.08259650319814682,-2.4937758445739746,False
67,0.09824971109628677,-2.32023286819458,False
68,0.18984699249267578,-1.6615315675735474,False
69,0.08041688054800034,-2.5205187797546387,False
70,0.022039050236344337,-3.814893960952759,True
71,0.08040528744459152,-2.520663022994995,False
72,0.08041268587112427,-2.520570993423462,False
73,0.08040119707584381,-2.5207138061523438,False
74,0.08041258901357651,-2.5205721855163574,False
75,0.08040191978216171,-2.520704746246338,False
76,0.08257975429296494,-2.49397873878479,False
77,0.09824607521295547,-2.320269823074341,False
78,0.1899271011352539,-1.6611096858978271,False
79,0.08041347563266754,-2.5205612182617188,False
80,0.0802859291434288,-2.522148370742798,False
81,0.08037178963422775,-2.5210795402526855,False
82,0.08033087104558945,-2.5215888023376465,False
83,0.08027946949005127,-2.522228956222534,False
84,0.08028192073106766,-2.522198438644409,False
85,0.08035346865653992,-2.5213074684143066,False
86,0.08212337642908096,-2.4995203018188477,False
87,0.09695214033126831,-2.3335275650024414,False
88,0.187665656208992,-1.6730880737304688,False
89,0.08035662025213242,-2.521268367767334,False
90,0.0821247547864914,-2.4995036125183105,False
91,0.09695231914520264,-2.3335256576538086,False
92,0.1876634806394577,-1.6730996370315552,False
93,0.11035066843032837,-2.20408296585083,True
94,0.08212455362081528,-2.4995059967041016,False
95,0.09695032238960266,-2.3335461616516113,False
96,0.1876654028892517,-1.6730893850326538,False
97,0.08035200089216232,-2.5213258266448975,False
98,0.047889649868011475,-3.038835048675537,True
99,0.09695136547088623,-2.333535671234131,False
100,0.18766385316848755,-1.6730976104736328,False
101,0.1878310889005661,-1.6722068786621094,False
102,0.18783217668533325,-1.672201156616211,False
103,0.18768858909606934,-1.6729657649993896,False
104,0.1876840442419052,-1.672990083694458,False
105,0.18783529102802277,-1.6721844673156738,False
106,0.031218962743878365,-3.4666974544525146,True
107,0.18768946826457977,-1.6729612350463867,False
108,0.18768732249736786,-1.672972559928894,False
109,0.18783117830753326,-1.6722064018249512,False
110,0.18783371150493622,-1.672192931175232,False
111,0.18768753111362457,-1.672971487045288,False
112,0.1876922845840454,-1.6729460954666138,False
113,0.18783707916736603,-1.6721749305725098,False
114,0.18783701956272125,-1.6721752882003784,False
115,0.1876927763223648,-1.6729434728622437,False
116,0.18768717348575592,-1.672973394393921,False
117,0.1878288984298706,-1.6722185611724854,False
118,0.18783237040042877,-1.6721999645233154,False
119,0.18768815696239471,-1.6729681491851807,False
120,0.18796908855438232,-1.671472430229187,False
121,0.1879710704088211,-1.6714619398117065,False
122,0.18796956539154053,-1.6714699268341064,False
123,0.18797747790813446,-1.671427845954895,False
124,0.18798013031482697,-1.6714136600494385,False
125,0.18797491490840912,-1.6714414358139038,False
126,0.060047369450330734,-2.8126049041748047,True
127,0.1879746913909912,-1.6714426279067993,False
128,0.18797117471694946,-1.6714613437652588,False
129,0.1879715770483017,-1.6714591979980469,False
130,0.18797092139720917,-1.6714626550674438,False
131,0.18797361850738525,-1.6714483499526978,False
132,0.18797779083251953,-1.6714261770248413,False
133,0.1879727691411972,-1.6714528799057007,False
134,0.18797047436237335,-1.6714651584625244,False
135,0.19028227031230927,-1.6592414379119873,False
136,0.19026030600070953,-1.6593568325042725,False
137,0.19015800952911377,-1.6598947048187256,False
138,0.19013559818267822,-1.6600124835968018,False
139,0.19013845920562744,-1.6599974632263184,False
140,0.19196991622447968,-1.6504113674163818,False
141,0.1919916421175003,-1.6502982378005981,False
142,0.0749644860625267,-2.5907275676727295,False
143,0.07895727455615997,-2.5388357639312744,False
144,0.09950371831655502,-2.3075501918792725,False
145,0.19206924736499786,-1.649894118309021,False
146,0.07496749609708786,-2.5906872749328613,False
147,0.07896053045988083,-2.53879451751709,False
148,0.07894300669431686,-2.5390164852142334,False
149,0.07894057780504227,-2.5390472412109375,False
150,0.07894483208656311,-2.5389933586120605,False
151,0.07285322993993759,-2.6192946434020996,True
152,0.07894141227006912,-2.539036750793457,False
153,0.07925402373075485,-2.5350844860076904,False
154,0.07925081998109818,-2.5351250171661377,False
155,0.08100373297929764,-2.5132477283477783,False
156,0.09590516239404678,-2.3443851470947266,False
157,0.07924564927816391,-2.5351901054382324,False
158,0.07924103736877441,-2.535248279571533,False
159,0.07924217730760574,-2.535233974456787,False
160,0.07919901609420776,-2.535778760910034,False
161,0.07920140027999878,-2.5357487201690674,False
162,0.07919886708259583,-2.535780668258667,False
163,0.07920124381780624,-2.5357506275177,False
164,0.08048934489488602,-2.519618034362793,False
165,0.09459956735372543,-2.3580918312072754,False
166,0.18422244489192963,-1.6916059255599976,False
167,0.07919904589653015,-2.535778522491455,False
168,0.08048978447914124,-2.5196125507354736,False
169,0.09459271281957626,-2.3581643104553223,False
170,0.18421931564807892,-1.6916229724884033,False
171,0.07920274138450623,-2.535731792449951,False
172,0.08049405366182327,-2.519559621810913,False
173,0.09460026770830154,-2.3580844402313232,False
174,0.18423263728618622,-1.6915504932403564,False
175,0.049507513642311096,-3.005610704421997,True
176,0.08048879355192184,-2.519624948501587,False
177,0.09460055828094482,-2.358081340789795,False
178,0.18422186374664307,-1.6916090250015259,False
179,0.18423521518707275,-1.691536545753479,False
180,0.18423926830291748,-1.6915146112442017,False
181,0.18424148857593536,-1.691502571105957,False
182,0.18423663079738617,-1.6915289163589478,False
183,0.1842326670885086,-1.691550374031067,False
184,0.1842546910047531,-1.6914308071136475,False
185,0.184247687458992,-1.6914688348770142,False
186,0.18424157798290253,-1.6915020942687988,False
187,0.1842464655637741,-1.691475510597229,False
188,0.1842384785413742,-1.691518783569336,False
189,0.18425266444683075,-1.6914418935775757,False
190,0.18423907458782196,-1.6915156841278076,False
191,0.1842394322156906,-1.6915137767791748,False
192,0.1842251420021057,-1.6915912628173828,False
193,0.18423712253570557,-1.691526174545288,False
194,0.18422751128673553,-1.6915783882141113,False
195,0.18423527479171753,-1.6915361881256104,False
196,0.1842261403799057,-1.6915857791900635,False
197,0.18422746658325195,-1.6915786266326904,False
198,0.1845155954360962,-1.6900159120559692,False
199,0.18450713157653809,-1.6900618076324463,False
200,0.18450598418712616,-1.690068006515503,False
201,0.18451519310474396,-1.6900180578231812,False
202,0.184515580534935,-1.6900159120559692,False
203,0.1845228672027588,-1.689976453781128,False
204,0.06566957384347916,-2.723104476928711,True
205,0.18452076613903046,-1.6899878978729248,False
206,0.1845112442970276,-1.6900395154953003,False
207,0.1845303624868393,-1.6899359226226807,False
208,0.18452243506908417,-1.689978837966919,False
209,0.18452920019626617,-1.6899421215057373,False
210,0.18452398478984833,-1.6899703741073608,False
211,0.18452294170856476,-1.6899760961532593,False
212,0.1845158338546753,-1.6900146007537842,False
213,0.1845339983701706,-1.6899161338806152,False
214,0.18424658477306366,-1.6914747953414917,False
215,0.1842603236436844,-1.6914002895355225,False
216,0.1843043714761734,-1.6911612749099731,False
217,0.18431861698627472,-1.6910839080810547,False
218,0.18428055942058563,-1.6912904977798462,False
219,0.07946426421403885,-2.532435417175293,False
220,0.08074309676885605,-2.516470432281494,False
221,0.09483062475919724,-2.355652332305908,False
222,0.18433517217636108,-1.690994143486023,False
223,0.02699805237352848,-3.6119534969329834,True
224,0.08075285702943802,-2.5163495540618896,False
225,0.08074451237916946,-2.5164527893066406,False
226,0.0807526707649231,-2.5163519382476807,False
227,0.08075254410505295,-2.5163533687591553,False
228,0.08070897310972214,-2.516893148422241,False
229,0.08072496205568314,-2.516695022583008,False
230,0.08072961866855621,-2.5166373252868652,False
231,0.08073616772890091,-2.5165562629699707,False
232,0.08074695616960526,-2.516422748565674,False
233,0.08074323832988739,-2.5164687633514404,False
234,0.07946296781301498,-2.532451629638672,False
235,0.08074672520160675,-2.516425609588623,False
236,0.09484090656042099,-2.355543851852417,False
237,0.18445731699466705,-1.6903318166732788,False
238,0.07945498824119568,-2.5325520038604736,False
239,0.07946447283029556,-2.532432794570923,False
240,0.0795288160443306,-2.531623363494873,False
241,0.07952310889959335,-2.5316951274871826,False
242,0.07951363921165466,-2.5318140983581543,False
243,0.07951152324676514,-2.5318408012390137,False
244,0.07951056212186813,-2.531852960586548,False
245,0.07951146364212036,-2.531841516494751,False
246,0.08019145578145981,-2.5233259201049805,False
247,0.09329977631568909,-2.371926784515381,False
248,0.18146388232707977,-1.706693172454834,False
249,0.07950212806463242,-2.531959056854248,False
250,0.08018039911985397,-2.523463726043701,False
251,0.09327197819948196,-2.372224807739258,False
252,0.045038580894470215,-3.1002135276794434,True
253,0.18130727112293243,-1.7075566053390503,False
254,0.18131323158740997,-1.7075235843658447,False
255,0.18130970001220703,-1.707543134689331,False
256,0.18122167885303497,-1.708028793334961,False
257,0.18124449253082275,-1.7079029083251953,False
258,0.0795062854886055,-2.5319066047668457,False
259,0.08019161969423294,-2.5233237743377686,False
260,0.09325379133224487,-2.372419834136963,False
261,0.1813497096300125,-1.707322597503662,False
262,0.07949351519346237,-2.53206729888916,False
263,0.07949680835008621,-2.5320258140563965,False
264,0.0794987827539444,-2.53200101852417,False
265,0.07949651032686234,-2.532029628753662,False
266,0.07950174063444138,-2.53196382522583,False
267,0.0795031413435936,-2.5319461822509766,False
