step,actual_error,intr_reward,is_noisy
0,0.08129683881998062,-2.5096359252929688,False
1,0.10234711319208145,-2.2793753147125244,False
2,0.02422412671148777,-3.720364809036255,True
3,0.07688850164413452,-2.5653860569000244,False
4,0.08129555732011795,-2.5096516609191895,False
5,0.10234645754098892,-2.27938175201416,False
6,0.1959323137998581,-1.6299809217453003,False
7,0.07689065486192703,-2.5653579235076904,False
8,0.08129552751779556,-2.5096518993377686,False
9,0.10234648734331131,-2.279381513595581,False
10,0.1959342509508133,-1.6299710273742676,False
11,0.07688968628644943,-2.565370559692383,False
12,0.08129741996526718,-2.5096287727355957,False
13,0.10234954208135605,-2.2793517112731934,False
14,0.19593214988708496,-1.6299817562103271,False
15,0.1959332376718521,-1.6299762725830078,False
16,0.1959364414215088,-1.6299598217010498,False
17,0.19593800604343414,-1.62995183467865,False
18,0.19593650102615356,-1.6299595832824707,False
19,0.19593437016010284,-1.6299704313278198,False
20,0.1959322690963745,-1.6299811601638794,False
21,0.19593457877635956,-1.6299693584442139,False
22,0.1959346979856491,-1.6299687623977661,False
23,0.19593429565429688,-1.6299707889556885,False
24,0.19593577086925507,-1.6299632787704468,False
25,0.19593383371829987,-1.6299731731414795,False
26,0.1959356665611267,-1.6299638748168945,False
27,0.19593453407287598,-1.629969596862793,False
28,0.1959371417760849,-1.6299562454223633,False
29,0.19593708217144012,-1.629956603050232,False
30,0.1959339827299118,-1.6299724578857422,False
31,0.19593673944473267,-1.6299583911895752,False
32,0.1959313601255417,-1.6299858093261719,False
33,0.016014404594898224,-4.134204387664795,True
34,0.1962241679430008,-1.6284924745559692,False
35,0.1962244063615799,-1.6284912824630737,False
36,0.19622687995433807,-1.6284786462783813,False
37,0.19622664153575897,-1.6284798383712769,False
38,0.19622643291950226,-1.6284809112548828,False
39,0.1962241381406784,-1.6284925937652588,False
40,0.1962239295244217,-1.6284936666488647,False
41,0.19622480869293213,-1.6284892559051514,False
42,0.19622941315174103,-1.6284657716751099,False
43,0.1962294578552246,-1.6284655332565308,False
44,0.1962265968322754,-1.628480076789856,False
45,0.19622498750686646,-1.628488302230835,False
46,0.1962205171585083,-1.6285110712051392,False
47,0.19622240960597992,-1.6285014152526855,False
48,0.19622625410556793,-1.6284818649291992,False
49,0.1925271898508072,-1.647512674331665,False
50,0.19253693521022797,-1.6474621295928955,False
51,0.19253186881542206,-1.6474883556365967,False
52,0.19254069030284882,-1.6474425792694092,False
53,0.19251568615436554,-1.6475725173950195,False
54,0.07462257146835327,-2.5952987670898438,False
55,0.07462376356124878,-2.595283031463623,False
56,0.0788576602935791,-2.540098190307617,False
57,0.060294609516859055,-2.8084959983825684,True
58,0.07462474703788757,-2.5952696800231934,False
59,0.07462378591299057,-2.595282554626465,False
60,0.07885253429412842,-2.540163278579712,False
61,0.07884686440229416,-2.5402350425720215,False
62,0.07884558290243149,-2.5402512550354004,False
63,0.0788508728146553,-2.540184259414673,False
64,0.07885127514600754,-2.5401792526245117,False
65,0.07884689420461655,-2.5402348041534424,False
66,0.07885513454675674,-2.540130138397217,False
67,0.0788266658782959,-2.5404913425445557,False
68,0.07882622629404068,-2.540496826171875,False
69,0.07882315665483475,-2.5405359268188477,False
70,0.022039303556084633,-3.814882516860962,True
71,0.07882208377122879,-2.5405495166778564,False
72,0.07460301369428635,-2.5955610275268555,False
73,0.07460319995880127,-2.5955584049224854,False
74,0.0788382738828659,-2.540343999862671,False
75,0.09963055700063705,-2.306276321411133,False
76,0.07460520416498184,-2.595531702041626,False
77,0.07460348308086395,-2.595554828643799,False
78,0.07883618026971817,-2.5403707027435303,False
79,0.0996287539601326,-2.3062944412231445,False
80,0.07402723282575607,-2.60330867767334,False
81,0.07402888685464859,-2.6032865047454834,False
82,0.07782670110464096,-2.553257942199707,False
83,0.0981009230017662,-2.3217482566833496,False
84,0.07402539253234863,-2.6033337116241455,False
85,0.07402573525905609,-2.6033289432525635,False
86,0.07782541960477829,-2.553274393081665,False
87,0.09810199588537216,-2.321737289428711,False
